cell_id,row_index,cell_type
10307921512800,327,mPDAC
10307921512850,328,Tregs
10307921512900,329,mPDAC
10307921512950,330,myCAFs
10307921513000,331,Endothelial cells
10307921513050,332,apCAFs
10307921513100,333,myCAFs
10307921513150,334,ePDAC
10307921513200,335,myCAFs
10307921513250,336,mPDAC
10307921513300,337,ePDAC
10307921513350,338,mPDAC
10307921513400,339,myCAFs
10307921513450,340,mPDAC
10307921513500,341,B cells
10307921513550,342,M2 Macrophage
10307921513600,343,mPDAC
10307921513650,344,mPDAC
10307921513700,345,mPDAC
10307921513750,346,myCAFs
10307921513800,347,myCAFs
10307921513850,348,ePDAC
10307921517450,349,mPDAC
10307921517500,350,iCAF
10307921517550,351,mPDAC
10307921517600,352,mPDAC
10307921517650,353,mPDAC
10307921517700,354,ePDAC
10307921517750,355,mPDAC
10307921517800,356,mPDAC
10307921517850,357,mPDAC
10307921517900,358,ePDAC
10307921517950,359,myCAFs
10307921518000,360,mPDAC
10307921518050,361,mPDAC
10307921518100,362,mPDAC
10307921518150,363,mPDAC
10307921518200,364,myCAFs
10307921518250,365,mPDAC
10307921518300,366,ePDAC
10307921518350,367,mPDAC
10307921518400,368,apCAFs
10307921518450,369,Endothelial cells
10307921518500,370,ePDAC
10307921518550,371,Tregs
10307921518600,372,B cells
10307921518650,373,myCAFs
10307921518700,374,mPDAC
10307921518750,375,ePDAC
10307921518800,376,apCAFs
10307921518850,377,Endothelial cells
10307921518900,378,mPDAC
10307921518950,379,Tregs
10307921519000,380,iCAF
10307921519050,381,myCAFs
10307921519100,382,apCAFs
10307921519150,383,mPDAC
10307921519200,384,apCAFs
10307921519250,385,mPDAC
10307921519300,386,mPDAC
10307921519850,387,myCAFs
10307921519900,388,mPDAC
10307921519950,389,apCAFs
10307921520000,390,mPDAC
10307921520050,391,mPDAC
10307921520100,392,M2 Macrophage
10307921520150,393,B cells
10307921520200,394,Endothelial cells
10307921520250,395,apCAFs
10307921520300,396,myCAFs
10307921520350,397,myCAFs
10307921520400,398,mPDAC
10307921520450,399,mPDAC
10307921520500,400,Endothelial cells
10307921520550,401,apCAFs
10307921520600,402,mPDAC
10307921520650,403,mPDAC
10307921520700,404,mPDAC
10307921520750,405,apCAFs
10307921520800,406,CD4 T cells
10307921520850,407,M2 Macrophage
10307921520900,408,M2 Macrophage
10307921520950,409,mPDAC
10307921521000,410,apCAFs
10307921521050,411,mPDAC
10307921521100,412,Endothelial cells
10307921521150,413,Tregs
10307921521200,414,myCAFs
10307921521250,415,mPDAC
10307921521300,416,mPDAC
10307921521350,417,mPDAC
10307921521400,418,Endothelial cells
10307921521450,419,mPDAC
10307921521500,420,mPDAC
10307921521550,421,myCAFs
10307921521600,422,Tregs
10307921521650,423,mPDAC
10307921521700,424,mPDAC
10307921521750,425,myCAFs
10307921521800,426,mPDAC
10307921521850,427,M2 Macrophage
10307921521900,428,mPDAC
10307921521950,429,Endothelial cells
10307921522000,430,B cells
10307921522050,431,myCAFs
10307921522100,432,myCAFs
10307921522150,433,mPDAC
10307921522200,434,myCAFs
10307921522250,435,M2 Macrophage
10307921522300,436,Endothelial cells
10307921522350,437,mPDAC
10307921522400,438,mPDAC
10307921522450,439,ePDAC
10307921522500,440,mPDAC
10307921522700,441,mPDAC
10307921522750,442,ePDAC
10307921522800,443,mPDAC
10307921522850,444,mPDAC
10307921522900,445,mPDAC
10307921522950,446,mPDAC
10307921523000,447,ePDAC
10307921523050,448,ePDAC
10307921523100,449,mPDAC
10307921523150,450,mPDAC
10307921523200,451,B cells
10307921523250,452,apCAFs
10307921523300,453,mPDAC
10307921523350,454,apCAFs
10307921523400,455,ePDAC
10307921523450,456,mPDAC
10307921523500,457,mPDAC
10307921523550,458,mPDAC
10307921523600,459,mPDAC
10307921523650,460,mPDAC
10307921523700,461,ePDAC
10307921523750,462,B cells
10307921523800,463,mPDAC
10307921523850,464,M2 Macrophage
10307921523900,465,mPDAC
10307921523950,466,mPDAC
10307921524000,467,B cells
10307921524050,468,ePDAC
10307921524100,469,apCAFs
10307921524150,470,Tregs
10307921524200,471,apCAFs
10307921524250,472,ePDAC
10307921524300,473,mPDAC
10307921524350,474,ePDAC
10307921524400,475,mPDAC
10307921524450,476,ePDAC
10307921524500,477,M2 Macrophage
10307921524550,478,myCAFs
10307921524600,479,mPDAC
10307921524650,480,myCAFs
10307921524700,481,mPDAC
10307921524750,482,CD4 T cells
10307921524800,483,mPDAC
10307921524850,484,Endothelial cells
10307921524900,485,myCAFs
10307921524950,486,mPDAC
10307921525000,487,myCAFs
10307921525050,488,apCAFs
10307921525100,489,M2 Macrophage
10307921525150,490,B cells
10307921525200,491,myCAFs
10307921525250,492,Endothelial cells
10307921525300,493,M2 Macrophage
10307921525350,494,mPDAC
10307921525400,495,Tregs
10307921525450,496,mPDAC
10307921525500,497,apCAFs
10307921525550,498,apCAFs
10307921525600,499,mPDAC
10307921525650,500,mPDAC
10307921525700,501,mPDAC
10307921525750,502,mPDAC
10307921525800,503,Endothelial cells
10307921525850,504,M2 Macrophage
10307921525900,505,myCAFs
